TRAPX	TRAPY
54848	126944
54880	126944
54880	126912
54912	126912
54912	126880
54944	126880
54944	126848
54976	126848
54976	126816
55008	126816
55008	126784
55040	126784
55040	126752
55072	126752
55072	126720
55104	126720
55104	126688
55136	126688
55104	126656
55072	126688
55040	126720
55008	126752
54976	126784
54944	126816
54912	126848
54880	126880
54848	126912
54816	126944
54816	126912
54848	126880
54880	126848
54912	126816
54944	126784
54976	126752
55008	126720
55072	126688
55040	126688
55072	126656
54848	126976
