ZoneId	ZoneName	ServerName	GatewayId	MainServer	GlobalWldh
z01	青龙区	云中镇	gate0101	1	1
z01	青龙区	龙门镇	gate0102	1	1
z01	青龙区	永乐镇	gate0103	1	1
z01	青龙区	江津村	gate0103	0	1
z01	青龙区	稻香村	gate0104	1	1
z01	青龙区	龙泉村	gate0107	1	1
z01	青龙区	铸剑坊	gate0107	0	1
z01	青龙区	巴陵县	gate0108	1	1
z01	青龙区	九老峰	gate0110	0	1
z01	青龙区	石鼓镇	gate0110	1	1
z01	青龙区	居延泽	gate0112	0	1
z01	青龙区	青螺岛	gate0112	1	1
z01	青龙区	翡翠湖	gate0113	0	1
z01	青龙区	燕子坞	gate0113	1	1
z01	青龙区	浣花溪	gate0114	1	1
z01	青龙区	点苍山	gate0116	0	1
z01	青龙区	响水洞	gate0116	1	1
z01	青龙区	风陵渡	gate0118	1	1
z02	白虎区	长江河谷	gate0201	1	1
z02	白虎区	洞庭湖畔	gate0201	0	1
z02	白虎区	淮水沙洲	gate0201	0	1
z02	白虎区	太行古径	gate0202	0	1
z02	白虎区	雁荡龙湫	gate0202	1	1
z02	白虎区	茶马古道	gate0207	1	1
z02	白虎区	松涛别院	gate0207	0	1
z02	白虎区	龙虎幻境	gate0209	1	1
z02	白虎区	龙门客栈	gate0209	0	1
z02	白虎区	姑苏水榭	gate0210	0	1
z02	白虎区	湖畔竹林	gate0210	1	1
z02	白虎区	藏剑山庄	gate0213	1	1
z02	白虎区	风池山庄	gate0213	0	1
z02	白虎区	暮雪山庄	gate0213	0	1
z02	白虎区	怡情山庄	gate0213	0	1
z03	朱雀区	大禹台	gate0301	0	1
z03	朱雀区	伏牛山	gate0301	0	1
z03	朱雀区	剑门关	gate0301	1	1
z03	朱雀区	武夷山	gate0302	1	1
z03	朱雀区	月牙泉	gate0302	0	1
z03	朱雀区	锁云渊	gate0302	0	1
z03	朱雀区	武陵山	gate0302	0	1
z03	朱雀区	黄鹤楼	gate0307	0	1
z03	朱雀区	岳阳楼	gate0307	1	1
z03	朱雀区	采石矶	gate0308	1	1
z03	朱雀区	桃花源	gate0308	0	1
z03	朱雀区	樱花谷	gate0308	0	1
z03	朱雀区	朱仙镇	gate0308	0	1
z03	朱雀区	梁山泊	gate0312	1	1
z03	朱雀区	桃花岛	gate0312	0	1
z03	朱雀区	无忧岛	gate0312	0	1
z03	朱雀区	寒波谷	gate0316	1	1
