TRAPX	TRAPY
56288	110496
56288	110464
56288	110432
56320	110464
56352	110432
56384	110400
56416	110368
56448	110336
56480	110304
56512	110272
56576	110240
56544	110240
56576	110208
56608	110176
56640	110176
56640	110144
56672	110144
56704	110112
56736	110080
56704	110080
56672	110112
56608	110144
56576	110176
56544	110208
56512	110240
56480	110272
56448	110304
56416	110336
56384	110368
56352	110400
56320	110432
56320	110400
56352	110368
56384	110336
56416	110304
56448	110272
56480	110240
56512	110208
56544	110176
56576	110144
56608	110112
56640	110112
56640	110080
56672	110080
56672	110048
56704	110048
56736	110048
56704	110016
