TRAPX	TRAPY
53632	104832
53600	104704
53696	104704
54112	102976
54048	103104
54016	102976
53888	103488
53984	103488
53920	103616
54240	103584
54208	104864
54240	104992
54080	105376
54176	105376
53920	104544
54016	104544
53952	104672
53760	105216
53856	105216
53792	105344
54112	105504
54240	111168
54464	103136
54400	103264
54368	103136
54656	103552
54560	103552
54592	103680
54336	103584
54272	103712
54752	105088
54304	104864
54720	105952
54688	105824
54336	111168
54272	111296
54528	110944
54464	111072
54432	110944
54720	110784
54688	110656
54848	105088
54784	105216
55040	105632
55008	105504
55104	105504
54784	105824
55104	110336
55040	110464
55008	110336
54784	110656
55040	110688
54976	110816
54944	110688
55456	105216
55392	105344
55360	105216
55488	105920
55424	106048
55392	105920
56288	104928
56256	105632
56224	105504
56192	108448
56096	108448
56160	108064
56096	108192
56064	108064
55968	109056
55904	109184
55872	109056
55968	108640
55904	108768
55872	108640
56224	108928
56160	109056
56128	108928
56128	108576
56032	110368
55968	110496
55936	110368
56192	110720
56128	110848
56096	110720
56736	105056
56672	105184
56640	105056
56576	104576
56512	104704
56480	104576
56384	104928
56320	105056
56320	105504
56672	105536
56608	105664
56576	105536
56416	110336
56352	110464
56320	110336
56416	111200
56352	111328
56320	111200
56576	110912
56512	111040
56480	110912
