TRAPX	TRAPY
56288	118816
56032	119168
56064	119296
56128	119200
56160	119776
56192	119904
56256	119808
56288	121408
55936	121824
56224	122016
56256	122144
55968	121952
56032	121856
56672	117568
56704	117696
56768	117600
56704	116992
56736	117120
56800	117024
56320	118944
56384	118848
56672	119744
56768	119776
56448	119328
56480	119456
56544	119360
56704	119872
56640	121216
56672	121344
56736	121248
56576	121760
56672	121792
56320	121536
56384	121440
56608	121888
56320	122048
56832	116128
56864	116256
56928	116160
57024	116640
57120	116672
57056	116768
57024	117312
57056	117440
57120	117344
