TRAPX	TRAPY
57824	107104
57760	106688
57664	106688
57696	106816
58048	105792
57952	105792
57984	105920
57984	106464
58048	106336
57952	106336
57920	107104
57856	107232
58112	106752
58016	106752
58048	106880
58720	108000
58624	108000
58656	108128
58816	108448
58848	107712
58848	108576
59008	102880
59040	103008
59104	102880
59296	103456
59200	103456
59232	103584
59200	103904
59104	103904
59136	104032
58912	108448
59200	108096
59104	108096
59136	108224
58944	107712
58880	107840
59328	108416
59360	108544
59616	102496
59520	102496
59552	102624
59712	103104
59616	103104
59648	103232
59808	106688
59840	106816
59424	108416
60128	106144
60032	106144
60064	106272
60160	107168
60256	107168
60192	107296
60256	106592
60352	106592
60288	106720
59904	106688
60352	108896
60256	108896
60288	109024
60320	109312
60352	109440
60096	109472
60000	109472
60032	109600
60352	109824
60384	109952
60160	109952
60064	109952
60096	110080
60576	106912
60672	106912
60608	107040
60416	109312
60448	109824
